datetime,portfolio_value,cash,positions,return
2020-08-20 09:30:00-04:00,114029.51670837402,25006.17155456543,"[{'asset': USD, 'quantity': 25006.17155456543}, {'asset': GOOG, 'quantity': 1129.0}]",0.016904714332037996
2020-08-21 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.00849998323847756
2020-08-22 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-24 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-25 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-26 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-27 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-28 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-29 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-08-31 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-01 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-02 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-03 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-04 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-05 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-08 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-09 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-10 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-11 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-12 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-14 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-15 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-16 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-17 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-18 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-19 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-21 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-22 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-23 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-24 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-25 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-26 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-28 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-29 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-09-30 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-01 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-02 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-03 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-05 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-06 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-07 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-08 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-09 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-10 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-12 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-13 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-14 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-15 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-16 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-17 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-19 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-20 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-21 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-22 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-23 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-24 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-26 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-27 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-28 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-29 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-30 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-10-31 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-02 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-03 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-04 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-05 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-06 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-07 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-09 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-10 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-11 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-12 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-13 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-14 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-16 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-17 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-18 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-19 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-20 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-21 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-23 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-24 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-25 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-26 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-27 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-28 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-11-30 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-01 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-02 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-03 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-04 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-05 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-07 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-08 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-09 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-10 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-11 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-12 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-14 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-15 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-16 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-17 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-18 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-19 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-21 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-22 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-23 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-24 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-25 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-28 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-29 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-30 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2020-12-31 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-01 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-04 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-05 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-06 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-07 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-08 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-09 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-11 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-12 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-13 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-14 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-15 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-16 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-19 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-20 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-21 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-22 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-23 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-25 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-26 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-27 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-28 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-29 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-01-30 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-01 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-02 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-03 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-04 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-05 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-06 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-08 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-09 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-10 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-11 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-12 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-13 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-16 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-17 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-18 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-19 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-20 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-22 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-23 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-24 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-25 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-26 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-02-27 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-01 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-02 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-03 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-04 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-05 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-06 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-08 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-09 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-10 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-11 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-12 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-13 09:30:00-05:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-15 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-16 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-17 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-18 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-19 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-20 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-22 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-23 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-24 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-25 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-26 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-27 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-29 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-30 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-03-31 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-01 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-02 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-05 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-06 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-07 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-08 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-09 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-10 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-12 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-13 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-14 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-15 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-16 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-17 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-19 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-20 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-21 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-22 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-23 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-24 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-26 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-27 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-28 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-29 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-04-30 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-05-01 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-05-03 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-05-04 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-05-05 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
2021-05-06 09:30:00-04:00,114998.76568908691,114998.76568908691,"[{'asset': USD, 'quantity': 114998.76568908691}]",0.0
